timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1631890888584,30,GET Activity,200,OK,Endurance 1-1,text,true,,351,178,2,2,https://bobby-appservice.azurewebsites.net/api/Activities/8,30,0,0
1631890888611,25,GET Book,200,OK,Endurance 1-2,text,true,,741,173,2,2,https://bobby-appservice.azurewebsites.net/api/Books/7,25,0,0
1631890888614,37,GET All Authors,200,OK,Endurance 1-1,text,true,,47615,173,2,2,https://bobby-appservice.azurewebsites.net/api/Authors,30,0,0
1631890888637,23,GET All Activities,200,OK,Endurance 1-2,text,true,,3109,176,2,2,https://bobby-appservice.azurewebsites.net/api/Activities,23,0,0
1631890888661,18,GET Activity,200,OK,Endurance 1-2,text,true,,352,178,2,2,https://bobby-appservice.azurewebsites.net/api/Activities/9,18,0,0
1631890888652,27,GET Author,200,OK,Endurance 1-1,text,true,,330,175,2,2,https://bobby-appservice.azurewebsites.net/api/Authors/8,27,0,0
1631890888680,41,GET All Authors,200,OK,Endurance 1-2,text,true,,31723,173,2,2,https://bobby-appservice.azurewebsites.net/api/Authors,37,0,0
1631890888680,62,GET All Books,200,OK,Endurance 1-1,text,true,,97339,171,2,2,https://bobby-appservice.azurewebsites.net/api/Books,42,0,0
1631890888722,27,GET Author,200,OK,Endurance 1-2,text,true,,330,175,2,2,https://bobby-appservice.azurewebsites.net/api/Authors/9,27,0,0
1631890888750,43,GET All Books,200,OK,Endurance 1-2,text,true,,97539,171,2,2,https://bobby-appservice.azurewebsites.net/api/Books,24,0,0
1631890888743,50,GET Book,200,OK,Endurance 1-1,text,true,,741,173,2,2,https://bobby-appservice.azurewebsites.net/api/Books/8,50,0,0
1631890888794,29,GET All Activities,200,OK,Endurance 1-1,text,true,,3109,176,2,2,https://bobby-appservice.azurewebsites.net/api/Activities,29,0,0
1631890888794,31,GET Book,200,OK,Endurance 1-2,text,true,,741,173,2,2,https://bobby-appservice.azurewebsites.net/api/Books/9,31,0,0
1631890888826,22,GET All Activities,200,OK,Endurance 1-2,text,true,,3109,176,2,2,https://bobby-appservice.azurewebsites.net/api/Activities,22,0,0
1631890888823,27,GET Activity,200,OK,Endurance 1-1,text,true,,353,179,2,2,https://bobby-appservice.azurewebsites.net/api/Activities/10,27,0,0
1631890888849,41,GET Activity,200,OK,Endurance 1-2,text,true,,354,179,2,2,https://bobby-appservice.azurewebsites.net/api/Activities/11,41,0,0
1631890888851,44,GET All Authors,200,OK,Endurance 1-1,text,true,,47667,173,2,2,https://bobby-appservice.azurewebsites.net/api/Authors,39,0,0
1631890888892,34,GET All Authors,200,OK,Endurance 1-2,text,true,,47615,173,2,2,https://bobby-appservice.azurewebsites.net/api/Authors,26,0,0
1631890888896,41,GET Author,200,OK,Endurance 1-1,text,true,,333,176,2,2,https://bobby-appservice.azurewebsites.net/api/Authors/10,41,0,0
1631890888927,30,GET Author,200,OK,Endurance 1-2,text,true,,333,176,2,2,https://bobby-appservice.azurewebsites.net/api/Authors/11,30,0,0
1631890888938,67,GET All Books,200,OK,Endurance 1-1,text,true,,97539,171,2,2,https://bobby-appservice.azurewebsites.net/api/Books,40,0,0
1631890888958,66,GET All Books,200,OK,Endurance 1-2,text,true,,97539,171,2,2,https://bobby-appservice.azurewebsites.net/api/Books,49,0,0
1631890889005,40,GET Book,200,OK,Endurance 1-1,text,true,,744,174,2,2,https://bobby-appservice.azurewebsites.net/api/Books/10,40,0,0
1631890889024,29,GET Book,200,OK,Endurance 1-2,text,true,,744,174,2,2,https://bobby-appservice.azurewebsites.net/api/Books/11,29,0,0
