timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1631891189345,116,GET All Books,200,OK,Stress 1-3,text,true,,97539,171,20,20,https://bobby-appservice.azurewebsites.net/api/Books,69,0,0
1631891189369,109,GET All Authors,200,OK,Stress 1-6,text,true,,63507,173,20,20,https://bobby-appservice.azurewebsites.net/api/Authors,93,0,0
1631891189370,108,GET Activity,200,OK,Stress 1-14,text,true,,352,178,20,20,https://bobby-appservice.azurewebsites.net/api/Activities/5,108,0,0
1631891189370,108,GET Activity,200,OK,Stress 1-1,text,true,,351,178,20,20,https://bobby-appservice.azurewebsites.net/api/Activities/4,108,0,0
1631891189370,108,GET Activity,200,OK,Stress 1-15,text,true,,351,178,20,20,https://bobby-appservice.azurewebsites.net/api/Activities/2,108,0,0
1631891189369,112,GET All Authors,200,OK,Stress 1-5,text,true,,63507,173,20,20,https://bobby-appservice.azurewebsites.net/api/Authors,66,0,0
1631891189368,113,GET Book,200,OK,Stress 1-20,text,true,,744,174,20,20,https://bobby-appservice.azurewebsites.net/api/Books/12,113,0,0
1631891189369,125,GET All Authors,200,OK,Stress 1-2,text,true,,63507,173,20,20,https://bobby-appservice.azurewebsites.net/api/Authors,65,0,0
1631891189369,137,GET All Books,200,OK,Stress 1-16,text,true,,97539,171,20,20,https://bobby-appservice.azurewebsites.net/api/Books,118,0,0
1631891189371,143,GET All Authors,200,OK,Stress 1-8,text,true,,63507,173,20,20,https://bobby-appservice.azurewebsites.net/api/Authors,128,0,0
1631891189373,149,GET All Authors,200,OK,Stress 1-12,text,true,,57267,173,20,20,https://bobby-appservice.azurewebsites.net/api/Authors,141,0,0
1631891189413,110,GET Book,200,OK,Stress 1-11,text,true,,741,173,20,20,https://bobby-appservice.azurewebsites.net/api/Books/2,110,0,0
1631891189405,118,GET Book,200,OK,Stress 1-7,text,true,,741,173,20,20,https://bobby-appservice.azurewebsites.net/api/Books/1,118,0,0
1631891189413,128,GET All Books,200,OK,Stress 1-10,text,true,,97539,171,20,20,https://bobby-appservice.azurewebsites.net/api/Books,110,0,0
1631891189414,136,GET Activity,200,OK,Stress 1-19,text,true,,352,178,20,20,https://bobby-appservice.azurewebsites.net/api/Activities/7,136,0,0
1631891189414,138,GET All Authors,200,OK,Stress 1-4,text,true,,47615,173,20,20,https://bobby-appservice.azurewebsites.net/api/Authors,128,0,0
1631891189413,146,GET All Books,200,OK,Stress 1-13,text,true,,97539,171,20,20,https://bobby-appservice.azurewebsites.net/api/Books,111,0,0
1631891189430,139,GET All Authors,200,OK,Stress 1-18,text,true,,47615,173,20,20,https://bobby-appservice.azurewebsites.net/api/Authors,125,0,0
1631891189439,138,GET All Authors,200,OK,Stress 1-17,text,true,,47615,173,20,20,https://bobby-appservice.azurewebsites.net/api/Authors,131,0,0
1631891189456,121,GET Book,200,OK,Stress 1-9,text,true,,741,173,20,20,https://bobby-appservice.azurewebsites.net/api/Books/4,121,0,0
1631891189462,116,GET Book,200,OK,Stress 1-3,text,true,,741,173,20,20,https://bobby-appservice.azurewebsites.net/api/Books/3,116,0,0
1631891189494,84,GET Author,200,OK,Stress 1-2,text,true,,330,175,20,20,https://bobby-appservice.azurewebsites.net/api/Authors/8,84,0,0
1631891189481,97,GET Author,200,OK,Stress 1-5,text,true,,330,175,20,20,https://bobby-appservice.azurewebsites.net/api/Authors/9,97,0,0
1631891189481,97,GET All Activities,200,OK,Stress 1-20,text,true,,3109,176,20,20,https://bobby-appservice.azurewebsites.net/api/Activities,97,0,0
1631891189478,100,GET Author,200,OK,Stress 1-6,text,true,,333,176,20,20,https://bobby-appservice.azurewebsites.net/api/Authors/10,100,0,0
1631891189479,117,GET All Authors,200,OK,Stress 1-15,text,true,,31723,173,20,20,https://bobby-appservice.azurewebsites.net/api/Authors,101,0,0
1631891189478,122,GET All Authors,200,OK,Stress 1-14,text,true,,31723,173,20,20,https://bobby-appservice.azurewebsites.net/api/Authors,100,0,0
1631891189506,94,GET Book,200,OK,Stress 1-16,text,true,,741,173,20,20,https://bobby-appservice.azurewebsites.net/api/Books/5,94,0,0
1631891189523,79,GET All Activities,200,OK,Stress 1-11,text,true,,3109,176,20,20,https://bobby-appservice.azurewebsites.net/api/Activities,79,0,0
1631891189523,79,GET All Activities,200,OK,Stress 1-7,text,true,,3109,176,20,20,https://bobby-appservice.azurewebsites.net/api/Activities,79,0,0
1631891189522,80,GET Author,200,OK,Stress 1-12,text,true,,333,176,20,20,https://bobby-appservice.azurewebsites.net/api/Authors/11,80,0,0
1631891189514,88,GET Author,200,OK,Stress 1-8,text,true,,333,176,20,20,https://bobby-appservice.azurewebsites.net/api/Authors/12,88,0,0
1631891189479,124,GET All Authors,200,OK,Stress 1-1,text,true,,31723,173,20,20,https://bobby-appservice.azurewebsites.net/api/Authors,101,0,0
1631891189542,62,GET Book,200,OK,Stress 1-10,text,true,,741,173,20,20,https://bobby-appservice.azurewebsites.net/api/Books/6,62,0,0
1631891189552,52,GET Author,200,OK,Stress 1-4,text,true,,330,175,20,20,https://bobby-appservice.azurewebsites.net/api/Authors/1,52,0,0
1631891189550,64,GET All Authors,200,OK,Stress 1-19,text,true,,63507,173,20,20,https://bobby-appservice.azurewebsites.net/api/Authors,54,0,0
1631891189570,44,GET Author,200,OK,Stress 1-18,text,true,,330,175,20,20,https://bobby-appservice.azurewebsites.net/api/Authors/3,44,0,0
1631891189560,54,GET Book,200,OK,Stress 1-13,text,true,,741,173,20,20,https://bobby-appservice.azurewebsites.net/api/Books/7,54,0,0
1631891189577,38,GET All Activities,200,OK,Stress 1-9,text,true,,3109,176,20,20,https://bobby-appservice.azurewebsites.net/api/Activities,38,0,0
1631891189577,38,GET Author,200,OK,Stress 1-17,text,true,,330,175,20,20,https://bobby-appservice.azurewebsites.net/api/Authors/6,38,0,0
1631891189578,37,GET Activity,200,OK,Stress 1-20,text,true,,351,178,20,20,https://bobby-appservice.azurewebsites.net/api/Activities/8,37,0,0
1631891189578,38,GET All Activities,200,OK,Stress 1-3,text,true,,3109,176,20,20,https://bobby-appservice.azurewebsites.net/api/Activities,38,0,0
1631891189578,54,GET All Books,200,OK,Stress 1-2,text,true,,97539,171,20,20,https://bobby-appservice.azurewebsites.net/api/Books,39,0,0
1631891189596,36,GET Author,200,OK,Stress 1-15,text,true,,330,175,20,20,https://bobby-appservice.azurewebsites.net/api/Authors/2,36,0,0
1631891189578,83,GET All Books,200,OK,Stress 1-5,text,true,,97539,171,20,20,https://bobby-appservice.azurewebsites.net/api/Books,46,0,0
1631891189578,84,GET All Books,200,OK,Stress 1-6,text,true,,97539,171,20,20,https://bobby-appservice.azurewebsites.net/api/Books,58,0,0
1631891189601,61,GET All Activities,200,OK,Stress 1-16,text,true,,3109,176,20,20,https://bobby-appservice.azurewebsites.net/api/Activities,61,0,0
1631891189602,61,GET Activity,200,OK,Stress 1-11,text,true,,352,178,20,20,https://bobby-appservice.azurewebsites.net/api/Activities/9,61,0,0
1631891189602,61,GET Activity,200,OK,Stress 1-7,text,true,,353,179,20,20,https://bobby-appservice.azurewebsites.net/api/Activities/10,61,0,0
1631891189604,59,GET All Activities,200,OK,Stress 1-10,text,true,,3109,176,20,20,https://bobby-appservice.azurewebsites.net/api/Activities,59,0,0
1631891189614,49,GET All Activities,200,OK,Stress 1-13,text,true,,3109,176,20,20,https://bobby-appservice.azurewebsites.net/api/Activities,49,0,0
1631891189615,49,GET Activity,200,OK,Stress 1-9,text,true,,354,179,20,20,https://bobby-appservice.azurewebsites.net/api/Activities/11,49,0,0
1631891189616,48,GET Activity,200,OK,Stress 1-3,text,true,,353,179,20,20,https://bobby-appservice.azurewebsites.net/api/Activities/12,48,0,0
1631891189615,69,GET All Authors,200,OK,Stress 1-20,text,true,,31723,173,20,20,https://bobby-appservice.azurewebsites.net/api/Authors,49,0,0
1631891189603,90,GET Author,200,OK,Stress 1-1,text,true,,330,175,20,20,https://bobby-appservice.azurewebsites.net/api/Authors/4,90,0,0
1631891189614,84,GET All Books,200,OK,Stress 1-18,text,true,,97539,171,20,20,https://bobby-appservice.azurewebsites.net/api/Books,51,0,0
1631891189614,84,GET Author,200,OK,Stress 1-19,text,true,,330,175,20,20,https://bobby-appservice.azurewebsites.net/api/Authors/7,84,0,0
1631891189615,100,GET All Books,200,OK,Stress 1-17,text,true,,97539,171,20,20,https://bobby-appservice.azurewebsites.net/api/Books,85,0,0
1631891189604,128,GET All Books,200,OK,Stress 1-4,text,true,,97539,171,20,20,https://bobby-appservice.azurewebsites.net/api/Books,99,0,0
1631891189600,134,GET Author,200,OK,Stress 1-14,text,true,,330,175,20,20,https://bobby-appservice.azurewebsites.net/api/Authors/5,134,0,0
1631891189602,141,GET All Books,200,OK,Stress 1-12,text,true,,97539,171,20,20,https://bobby-appservice.azurewebsites.net/api/Books,98,0,0
1631891189633,118,GET Book,200,OK,Stress 1-2,text,true,,741,173,20,20,https://bobby-appservice.azurewebsites.net/api/Books/8,118,0,0
1631891189602,153,GET All Books,200,OK,Stress 1-8,text,true,,97539,171,20,20,https://bobby-appservice.azurewebsites.net/api/Books,137,0,0
1631891189633,145,GET All Books,200,OK,Stress 1-15,text,true,,97539,171,20,20,https://bobby-appservice.azurewebsites.net/api/Books,123,0,0
1631891189663,115,GET Activity,200,OK,Stress 1-10,text,true,,351,178,20,20,https://bobby-appservice.azurewebsites.net/api/Activities/2,115,0,0
1631891189663,115,GET Activity,200,OK,Stress 1-16,text,true,,352,178,20,20,https://bobby-appservice.azurewebsites.net/api/Activities/1,115,0,0
